"idBank";"Dernière mise à jour";"Correction";"Nature";"Zone géographique";"﻿Base de l'indice";"Puissance";"Unité";"Encadrement des loyers";"Indicateur";"Périodicité"
"010600406";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600407";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600408";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600409";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"Province";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600410";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600372";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600373";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600374";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Province";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600375";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600376";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600378";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600379";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600380";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600381";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Province";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600382";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600383";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600385";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur social";"Indices des Loyers";"Trimestrielle"
"010600386";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"France métropolitaine";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600387";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Agglomération parisienne";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600388";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"Province";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600389";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"971 - Guadeloupe";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600390";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600391";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"973 - Guyane";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600392";"22/03/2022 12:00";"Non corrigé";"Glissement trimestriel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010605032";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010605033";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"France hors Mayotte";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600411";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600397";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"972 - Martinique";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
"010600412";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"973 - Guyane";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600413";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Tous secteurs";"Indices des Loyers";"Trimestrielle"
"010600399";"22/03/2022 12:00";"Non corrigé";"Glissement annuel";"974 - La Réunion";"Janvier 2019";"0";"sans objet";"Secteur libre";"Indices des Loyers";"Trimestrielle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
