"idBank";"Dernière mise à jour";"Indicateur";"Composantes du coût du travail";"Unité";"Puissance";"Périodicité";"Activité";"Zone géographique";"Nature";"IDBANK pour sdmx";"﻿Base de l'indice";"Correction"
"010599859";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"I - Hébergement et restauration";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599860";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"J - Information et communication";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599861";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"K - Activités financières et d'assurance";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599862";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"L - Activités immobilières";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599863";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"M - Activités spécialisées, scientifiques et techniques";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599864";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"N - Activités de services administratifs et de soutien";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599849";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"B à N - Économie marchande";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599850";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"B à E - Industrie hors construction";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599851";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires seuls";"sans objet";"0";"Trimestrielle";"G à N - Services marchands";"France";"Indice";"BDM_EUR";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
"010599866";"18/03/2022 12:00";"Indice du coût du travail (Salaires et charges)";"Salaires et charges";"%";"0";"Trimestrielle";"B à N - Économie marchande";"France";"Variations trimestrielles";"BDM";"2016";"Corrigé des variations saisonnières et du nombre de jours ouvrables"
