"idBank";"Dernière mise à jour";"Nature";"Zone géographique";"Correction";"﻿Base de l'indice";"Périodicité";"Puissance";"Indicateur";"Unité"
"010567099";"24/02/2022 08:45";"Indice";"Nord-Pas-de-Calais";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567100";"24/02/2022 08:45";"Indice";"Nord-Pas-de-Calais";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567101";"24/02/2022 08:45";"Indice";"Nord-Pas-de-Calais";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567102";"24/02/2022 08:45";"Indice";"Nord-Pas-de-Calais";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567103";"24/02/2022 08:45";"Indice";"Nord-Pas-de-Calais";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567122";"24/02/2022 08:45";"Indice";"Hauts-de-France";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567123";"24/02/2022 08:45";"Indice";"Hauts-de-France";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567124";"24/02/2022 08:45";"Indice";"Hauts-de-France";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567125";"24/02/2022 08:45";"Indice";"Hauts-de-France";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567126";"24/02/2022 08:45";"Indice";"Hauts-de-France";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567127";"24/02/2022 08:45";"Indice";"Hauts-de-France";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567104";"24/02/2022 08:45";"Indice";"Rhône-Alpes";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567105";"24/02/2022 08:45";"Indice";"Rhône-Alpes";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567106";"24/02/2022 08:45";"Indice";"Rhône-Alpes";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567107";"24/02/2022 08:45";"Indice";"Rhône-Alpes";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567108";"24/02/2022 08:45";"Indice";"Rhône-Alpes";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567109";"24/02/2022 08:45";"Indice";"Rhône-Alpes";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567128";"24/02/2022 08:45";"Indice";"Auvergne-Rhône-Alpes";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567129";"24/02/2022 08:45";"Indice";"Auvergne-Rhône-Alpes";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567130";"24/02/2022 08:45";"Indice";"Auvergne-Rhône-Alpes";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567131";"24/02/2022 08:45";"Indice";"Auvergne-Rhône-Alpes";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567132";"24/02/2022 08:45";"Indice";"Auvergne-Rhône-Alpes";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567133";"24/02/2022 08:45";"Indice";"Auvergne-Rhône-Alpes";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567110";"24/02/2022 08:45";"Indice";"Provence-Alpes-Côte d'Azur";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567111";"24/02/2022 08:45";"Indice";"Provence-Alpes-Côte d'Azur";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567112";"24/02/2022 08:45";"Indice";"Provence-Alpes-Côte d'Azur";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567113";"24/02/2022 08:45";"Indice";"Provence-Alpes-Côte d'Azur";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567114";"24/02/2022 08:45";"Indice";"Provence-Alpes-Côte d'Azur";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567115";"24/02/2022 08:45";"Indice";"Provence-Alpes-Côte d'Azur";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010001868";"25/03/2022 12:00";"Indice";"France métropolitaine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements neufs et anciens";"sans objet"
"010001869";"25/03/2022 12:00";"Indice";"France métropolitaine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements neufs";"sans objet"
"010751596";"25/03/2022 12:00";"Indice";"France métropolitaine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements neufs et anciens";"sans objet"
"010751595";"25/03/2022 12:00";"Indice";"France métropolitaine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements neufs";"sans objet"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
