"Libellé";"idBank";"Dernière mise à jour";"Période";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Nombre annuel de défaillances d'entreprises - France - Série arrêtée";"001687563";"29/07/2016 00:00";"";"12445";"15339";"12866";"14313";"16060";"16334";"17846";"21366";"20933";"23179";"25489";"26896";"28273";"31237";"35523";"40513";"46129";"52863";"59589";"63709";"60954";"58947";"59760";"58986";"51968";"48343";"43968";"43282";"44966";"47217";"48357";"49351";"47918";"51343";"55562";"63205";"60330";"59493";"61095";"62532";"62430";"63159"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
