"idBank";"Dernière mise à jour";"Indicateur";"Unité";"Zone géographique";"Nature";"Correction";"Série arrêtée";"Périodicité";"Catalogue des questions à l'enquête de conjoncture auprès des ménages";"Puissance"
"001587668";"29/03/2022 08:45";"Indicateur synthétique de confiance des ménages";"sans objet";"France métropolitaine";"Solde d'opinions";"Corrigé des variations saisonnières";"non";"Mensuelle";"Sans objet";"0"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
