"idBank";"Dernière mise à jour";"Correction";"Quotité de temps de travail";"Puissance";"Indicateur";"Série arrêtée";"Nature";"Métiers";"﻿Base de l'indice";"Périodicité";"Unité";"Zone géographique";"Sexe";"Nomenclature de valorisations"
"001665102";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres et professions intellectuelles supérieures";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665103";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres et professions intellectuelles supérieures";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665104";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Professions intermédiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665105";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Professions intermédiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665106";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Professions intermédiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665107";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Employés";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665108";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Employés";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665109";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Employés";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665110";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Ouvriers";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665111";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Ouvriers";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665112";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Ouvriers";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665113";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Apprentis et stagiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665114";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Apprentis et stagiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665115";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Apprentis et stagiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665116";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665117";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665118";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665119";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Premier décile (D1) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665120";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Premier décile (D1) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665121";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Premier décile (D1) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665122";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Premier quartile (Q1) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665123";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Premier quartile (Q1) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665124";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Premier quartile (Q1) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665125";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Médiane (D5) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665126";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Médiane (D5) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665127";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Médiane (D5) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665128";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Troisième quartile (Q3) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665129";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Troisième quartile (Q3) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665130";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Troisième quartile (Q3) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665131";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Neuvième décile (D9) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665132";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Neuvième décile (D9) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665133";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Neuvième décile (D9) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665134";"07/11/2017 04:49";"Non corrigé";"Équivalent temps plein";"0";"Quatre-vingt-quinzième centile (C95) du salaire net annuel";"oui";"Valeur absolue";"Sans objet";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
